Minister,Date,Name of Individual or Organisation,Purpose of Meeting
Sir Keir Starmer,2025-07-22,Google,To discuss how the UK can build on its existing strengths in AI and to update on Google's ongoing operations in the UK
Sir Keir Starmer,2025-07-30,(American) National Basketball Association,To discuss the NBA's plans to expand their presence in the UK and investments in British basketball
Sir Keir Starmer,2025-07-31,"Serenity Loves, Scott Media, Pier 20, Nanogreen Cleaning, Rumsey's Chocolate",To discuss the experiences of small businesses and how the Small Business Plan can support and empower small business owners
Sir Keir Starmer,2025-07-31,"The Federation of Small Businesses, Small Business Britain, Enterprise Nation",To discuss the Government's Small Business Plan with small business representative organisations
Sir Keir Starmer,2025-08-01,Lady Chief Justice,"To discuss the Independent Criminal Courts and Sentencing Reviews, and the asylum appeals caseload"
Sir Keir Starmer,2025-08-12,"International Committee of the Red Cross, UK-Med, International Disaster & Emergency Aid with Long-term Support (IDEALS), Medical Aid for Palestinians (MAP), The Plastic Surgery Association",Video meeting with doctors and nurses providing medical aid in Gaza to hear about their experiences treating casualties
Sir Keir Starmer,2025-08-22,The Baroness Theresa May,To discuss modern slavery and human trafficking (MSHT) and the Government's MHST legislative reforms
Sir Keir Starmer,2025-09-08,Boots UK Limited,"To discuss ""Pharmacy First"" services and the role pharmacies can play in support of the Government's health goals"
Sir Keir Starmer,2025-09-12,"Constantin Cotzias, European Director of Bloomberg",To discuss business sentiment and market perspectives
Sir Keir Starmer,2025-09-15,Nissan,To discuss the UK's automotive sector
Sir Keir Starmer,2025-09-16,Families of Hillsborough Victims,"To discuss the progress through Parliament of the ""Hillsborough Law"" on public accountability"
Sir Keir Starmer,2025-09-19,Microsoft Corporation,To discuss how AI can support economic growth and public service
Sir Keir Starmer,2025-09-19,AstraZeneca,"To discuss the UK and global economy, including opportunities for the life sciences sector."
Sir Keir Starmer,2025-09-19,Families of Hillsborough Victims,"To discuss the progress through Parliament of the ""Hillsborough Law"" on public accountability"
Sir Keir Starmer,2025-09-22,"Katharine Viner, Editor-in-chief, The Guardian and Pippa Crerar, Political Editor, The Guardian",To discuss the Government's priorities for the months ahead
Sir Keir Starmer,2025-09-22,Condé Nast,To discuss how best to showcase and support the UK's creative industries
